sID,sentence,sentence_ru,top_label,label,label_id,class_name
1861,my ex was getting angry last weekend when i told him not to come for my son's birthday.,"мой бывший разозлился на прошлых выходных, когда я сказала ему не приходить на день рождения моего сына.",Social Relationships,4,3,friends
6208,Hello! So yea Um. the other day i got in a fight with my dad,"Привет! Так что да, хм. на днях я подрался с отцом",Family Issues,2,1,family
3091,work!,работа!,Other,6,5,unknown
6508,i cannot get myself in the mindset of having to study and do schoolwork and crap.,"я не могу заставить себя думать, что мне нужно учиться, делать уроки и всякую ерунду.",School,1,0,work
6023,Had a terrible financial fright today.,Сегодня у меня был ужасный финансовый страх.,Financial Problem,5,4,finance
6033,I've been struggling so much with the admin and the boring side of life and its taken over a bit and I don't like it.,"Я так много боролся с администратором и скучной стороной жизни, и это немного взяло на себя, и мне это не нравится.",Everyday Decision Making,6,5,unknown
4985,studying for midterms is hard when you hate all your classes.,"учиться на промежуточных семестрах тяжело, когда ты ненавидишь все занятия.",School,1,0,work
2929,Well you know my father who has dementia has entered a new stage with this disease.,"Ну, вы знаете, у моего отца, страдающего деменцией, болезнь вступила в новую стадию.",Family Issues,2,1,family
6132,oh well..I need money because im broke.,"ну ладно... мне нужны деньги, потому что я сломался.",Financial Problem,5,4,finance
5139,I have to go back to school tomorrow so I dont know how fast my chapters will be up!,"Завтра мне нужно вернуться в школу, поэтому я не знаю, как быстро будут написаны мои главы!",School,1,0,work
681,i am worried about not being able to finish my work in time.,"Я беспокоюсь о том, что не смогу закончить работу вовремя.",Work,1,0,work
107,being sick all week,болеть всю неделю,"Health, Fatigue, or Physical Pain",3,2,health
1809,my client's mom cancelled on wednesdays. idk how i will make up the time.,"мама моего клиента отменила встречу по средам. не знаю, как я наверстаю время.",Work,1,0,work
340,getting my work done before the deadline with the holidays right around the corner.,"выполнить свою работу раньше установленного срока, а праздники уже не за горами.",Work,1,0,work
3176,but I didn't sleep very well.,но я не очень хорошо спал.,"Health, Fatigue, or Physical Pain",3,2,health
3071,work is stressing me out!,работа меня напрягает!,Work,1,0,work
1727,my appointment with the dental surgeon has been stressing me out recently.,мой визит к хирургу-стоматологу в последнее время меня напрягает.,"Health, Fatigue, or Physical Pain",3,2,health
4817,work has been really exhausting lately.,работа в последнее время очень утомляет.,Work,1,0,work
1582,"just stressed about work and stuff, driving me nuts","просто переживаю из-за работы и прочего, это сводит меня с ума",Work,1,0,work
3919,"I am so so so so tired but I need to do my work that I have neglected, blah.","Я так так устал, но мне нужно сделать работу, которой я пренебрег, бла.",Work,1,0,work
2368,School assignments have been stressing me out.,Школьные задания меня напрягали.,School,1,0,work
4061,"i'm just having growing pains and with those, comes the desperate hope of this being my last day here.","у меня просто боли роста, и вместе с ними приходит отчаянная надежда на то, что это мой последний день здесь.",Emotional Turmoil,6,5,unknown
6534,I'm worried about having to go to more school after Albion.,"Я беспокоюсь о том, что после Альбиона мне придется больше ходить в школу.",School,1,0,work
4731,They tend to keep me late at work so I miss dinner so I need to stock up in my room more!,"Они, как правило, задерживают меня на работе, поэтому я пропускаю ужин, поэтому мне нужно запастись больше в своей комнате!",Work,1,0,work
6608,well i got sick of hearing about that stuff cuz i didnt have a job or stupid friends or anything.,"ну, мне надоело слышать об этом, потому что у меня не было работы, глупых друзей или чего-то еще.",Financial Problem,5,4,finance
4299,"So, I've been kind of upset with myself with the way I've been running my life.","Итак, я был немного расстроен тем, как я веду свою жизнь.",Emotional Turmoil,6,5,unknown
3325,It hurt when I would wake up from sleeping last night.,"Было больно, когда я просыпался прошлой ночью.","Health, Fatigue, or Physical Pain",3,2,health
4141,its like lately it's been hitting me pritty hard that they are gone and it sucks!,"такое ощущение, что в последнее время меня очень сильно задело то, что они ушли, и это отстой!",Social Relationships,4,3,friends
2674,The situation with coronavirus has been very stressful lately.,Ситуация с коронавирусом в последнее время очень напряженная.,Emotional Turmoil,6,5,unknown
5631,My entries have been a bit sparse this past week.,На прошлой неделе мои записи были немного скудными.,Other,6,5,unknown
2407,"Seriously, What's NOT stressing me out? #covid19#homeschooling#notreadyforthis","Серьезно, что меня НЕ напрягает? #covid19#обучение на дому#не готов к этому",School,1,0,work
5238,I need to stop being mean to my brothers and sisters.,Мне нужно перестать быть грубым с моими братьями и сестрами.,Family Issues,2,1,family
3616,i got insanely sick somewhere around wednesday. and was a pain in the ass complainer the rest of the week.,где-то в среду мне стало безумно плохо. и всю оставшуюся неделю был занозой в заднице.,"Health, Fatigue, or Physical Pain",3,2,health
5877,"it is getting on my nerves, i think i am stressing way to much over it but i cant really figure out how to stop.","это действует мне на нервы, я думаю, что слишком сильно переживаю из-за этого, но не могу понять, как остановиться.",Emotional Turmoil,6,5,unknown
391,Having to be stuck at home. This quarantine is really messing with me.,Приходится сидеть дома. Этот карантин меня очень раздражает.,Emotional Turmoil,6,5,unknown
2558,The COVID-19 has made our sales at the cafe very low.,Из-за COVID-19 наши продажи в кафе очень упали.,Work,1,0,work
3915,I am having trouble motivating myself this semester.,В этом семестре у меня проблемы с мотивацией.,School,1,0,work
110,Being stuck at home in quarantine,Сидеть дома на карантине,Emotional Turmoil,6,5,unknown
6170,See how horribly upset I get when I can't escape my house?,"Видишь, как я ужасно расстраиваюсь, когда не могу выбраться из дома?",Emotional Turmoil,6,5,unknown
5044,i had a test which went really bad in a class that i don't have a very good grade in right now.,"У меня был очень плохой тест в классе, по которому у меня сейчас не очень хорошая оценка.",School,1,0,work
2090,my son is giving me so much trouble at the moment- i feel awful,мой сын сейчас доставляет мне столько хлопот - я чувствую себя ужасно,Family Issues,2,1,family
758,i feel like i cant balance between all of my reponsibilities,"я чувствую, что не могу балансировать между всеми своими обязанностями",Everyday Decision Making,6,5,unknown
2356,roommate is driving me crazy,сосед по комнате сводит меня с ума,Social Relationships,4,3,friends
1363,I'm worried about COVID-19 and how much longer this is going to go on for.,"Я беспокоюсь о COVID-19 и о том, как долго это будет продолжаться.",Emotional Turmoil,6,5,unknown
2818,too much paperwork interfering with actual work,"слишком много документов, мешающих реальной работе",Work,1,0,work
4297,So much has been going wrong for me lately its time I make things right.,"В последнее время у меня так много пошло не так, пора мне все исправить.",Other,6,5,unknown
1515,I've been trying to potty train my 2 year old and she is just not seeming to understand.,"Я пытаюсь приучить свою двухлетнюю дочь к горшку, но она, кажется, просто не понимает.",Family Issues,2,1,family
4537,"Our daily lives can easily become filled with stress, pressure, and confusion.","Наша повседневная жизнь может легко наполниться стрессом, давлением и замешательством.",Everyday Decision Making,6,5,unknown
5576,"So yeah Im sad and whatnot, Ill miss the seniors SOOOOOO much but I cant take it anymore.","Так что да, мне грустно и все такое, я буду ТАК скучать по старшим, но я больше не могу этого терпеть.",School,1,0,work
4727,"other than i miss all my friends.. and my car's brakes really need to be fixed, I'm not really allowed to drive it right now..","кроме того, что я скучаю по всем своим друзьям.. и тормоза моей машины действительно нужно починить, мне сейчас не разрешено ею водить..",Social Relationships,4,3,friends
2492,the amount of work i have.,"объем работы, который у меня есть.",Work,1,0,work
984,i have had to work extra lately.,в последнее время мне пришлось работать дополнительно.,Work,1,0,work
2853,trying to get everyone where they need to be on time.,"пытаясь доставить всех туда, куда им нужно, вовремя.",Everyday Decision Making,6,5,unknown
101,Being quarantined because og Corona Virus,Нахожусь на карантине из-за короновируса,Other,6,5,unknown
750,i don't seem to have enough time during the day to finish pages on my bullet journal.,"Кажется, мне не хватает времени в течение дня, чтобы закончить страницы моего дневника.",Work,1,0,work
2212,Not knowing who will be next to get the COVID-19 virus.,"Неизвестно, кто будет следующим, кто заразится вирусом COVID-19.",Emotional Turmoil,6,5,unknown
2268,Online school work has been stressing me out quite a bit.,Работа в онлайн-школе меня изрядно напрягала.,School,1,0,work
6605,i'm feeling kinda depressed lately in a way that sort of worries me!,"в последнее время я чувствую себя немного подавленным, и это меня беспокоит!",Emotional Turmoil,6,5,unknown
4105,I'm tired of: not getting paid by res life9.,Я устал от: не получать зарплату от res life9.,Work,1,0,work
1899,my grades and a course that i really cant handle right now.,"мои оценки и курс, с которым я сейчас действительно не могу справиться.",School,1,0,work
5817,"i can't stand living here.if something happends it gets pinned on me,like its my fault or like i have the answers to the fuckin problems.","Я не могу жить здесь. Если что-то случится, это будет возложено на меня, как будто это моя вина или как будто у меня есть ответы на эти чертовы проблемы.",Emotional Turmoil,6,5,unknown
6266,My mother is driving me INSANE.,Моя мать сводит меня с ума.,Family Issues,2,1,family
6446,i want something to do today but everyone is busy.,"Я хочу чем-нибудь заняться сегодня, но все заняты.",Other,6,5,unknown
1952,my job has been stressing me out,моя работа меня напрягает,Work,1,0,work
5589,"i am so unbelievably fucking pissed right now! the more i think about it, the more upset and pissed i get.","я сейчас невероятно зол! чем больше я об этом думаю, тем больше расстраиваюсь и злюсь.",Emotional Turmoil,6,5,unknown
1997,My mom had her cognitive assessment and they think she might have dementia.,"Моя мама прошла когнитивную оценку, и они думают, что у нее может быть деменция.",Family Issues,2,1,family
3740,The riot and vandalism on our street last Sunday night.,Бунт и вандализм на нашей улице в прошлое воскресенье вечером.,Other,6,5,unknown
5478,I have stories that told of their heartaches when the guy or girl they're obsessed with turned out to be in love with someone else they think are less deserving.,"У меня есть истории об их душевных страданиях, когда парень или девушка, которыми они были одержимы, оказывались влюбленными в кого-то другого, которого они считали менее достойным.",Social Relationships,4,3,friends
6769,am confronted with a large bill for something unexpected and most probably wrong which will take weeks to fix.,"Я столкнулся с большим счетом за что-то неожиданное и, скорее всего, неправильное, на исправление которого уйдут недели.",Financial Problem,5,4,finance
2615,The kids being home all the time. Everyone being hone all day is driving each other craz,"Дети все время дома. Все, кто весь день честен, сводят друг друга с ума",Family Issues,2,1,family
3712,My husband's new job doesn't have benefits and I need health insurance,"На новой работе моего мужа нет льгот, а мне нужна медицинская страховка.","Health, Fatigue, or Physical Pain",3,2,health
1682,money - money is always stressful,деньги - деньги всегда стресс,Financial Problem,5,4,finance
1697,money just seems so hard to come by these days.,"Кажется, что в наши дни деньги так трудно добыть.",Financial Problem,5,4,finance
6299,"When Beki told me about her Mom's problem a while ago, I was worried.","Когда Беки недавно рассказала мне о проблеме своей мамы, я забеспокоился.",Social Relationships,4,3,friends
5419,woohoo i skipped p.e. for like 3 weeks and they just now caught me so i'm suspended tomorrow lol..well how's everyone been doing i haven't updated in a while!,"уууууууу я пропустил занятия примерно 3 недели, и они только сейчас поймали меня, так что завтра меня отстраняют, лол..ну как у всех дела, я давно не обновлялся!",School,1,0,work
819,i have a current temporary medical condition,у меня временное заболевание,"Health, Fatigue, or Physical Pain",3,2,health
1854,"my dog just passed away, i am super sad and stressed.","моя собака только что скончалась, мне очень грустно и я в стрессе.",Emotional Turmoil,6,5,unknown
2123,my week was so stressful  because of having financial problems.,моя неделя была очень напряженной из-за финансовых проблем.,Financial Problem,5,4,finance
4619,"our friends don't come through, our finances are always wanting, and our appetite is never satisfied.","наши друзья не справляются, наши финансы всегда в недостатке, а наш аппетит никогда не бывает удовлетворен.",Financial Problem,5,4,finance
1393,It has really been stressing me out lately trying to find my favorites foods.,В последнее время меня очень напрягает попытка найти любимую еду.,Everyday Decision Making,6,5,unknown
3912,I am frustrated with an aspect of my job.,Я разочарован одним аспектом своей работы.,Other,6,5,unknown
6768,I'm still broke and in debt.,Я все еще разорен и в долгах.,Financial Problem,5,4,finance
52,All this school work,Вся эта школьная работа,School,1,0,work
1657,Lost my job so I don't know how rent will be paid,"Потерял работу, поэтому не знаю, как будет выплачиваться арендная плата",Work,1,0,work
6811,My parents are driving me crazy.,Мои родители сводят меня с ума.,Family Issues,2,1,family
6258,I'm getting very tired of my mother telling me that I do not have my priorities straight.,"Я очень устаю от того, что мама говорит мне, что у меня нет четких приоритетов.",Family Issues,2,1,family
3818,Trying to navigate my state's unemployment website!,Пытаюсь ориентироваться на сайте по безработице моего штата!,Financial Problem,5,4,finance
3482,"I hate that feeling when you know you have to get up, but you're so tired and it's so cold outside.","Ненавижу это чувство, когда ты знаешь, что тебе пора вставать, но ты так устал и на улице так холодно.","Health, Fatigue, or Physical Pain",3,2,health
6734,Because its not easy dealing with him when he is all stressed out about something.,"Потому что с ним нелегко иметь дело, когда он из-за чего-то переживает.",Social Relationships,4,3,friends
2611,the holidays coming up lol you?,"скоро праздники, лол?",School,1,0,work
6643,"Yes I miss a relationship, but damnit, women are just trouble for me.","Да, я скучаю по отношениям, но, черт возьми, женщины для меня просто беда.",Social Relationships,4,3,friends
926,I have been stressed out about being at home and unable to work.,"Я был в стрессе из-за того, что находился дома и не мог работать.",Work,1,0,work
2112,my truck broke down last week and i didn't have the money to buy the parts for repair,"мой грузовик сломался на прошлой неделе, и у меня не было денег, чтобы купить детали для ремонта",Financial Problem,5,4,finance
3638,I can't sleep anymore and I know it's a problem I need to fix but I can't seem to be able to.,"Я больше не могу спать и знаю, что это проблема, которую мне нужно решить, но, похоже, я не могу.","Health, Fatigue, or Physical Pain",3,2,health
4606,"I'm not sure if I'm just this unused to mornings now, or if the meatpuppet is upset about something.","Я не уверен, то ли я сейчас так отвык от утра, то ли мясная марионетка чем-то расстроена.",Other,6,5,unknown
1148,i threw my husband that birthday party for a bunch of people.,я устроила мужу вечеринку по случаю дня рождения для группы людей.,Other,6,5,unknown
2808,tim has been working late,Тим работал допоздна,Other,6,5,unknown
6701,I have felt a general lack of energy for the past week.,На прошлой неделе я почувствовал общую нехватку энергии.,"Health, Fatigue, or Physical Pain",3,2,health
617,i am stressed at work because i have very little time to breathe!,"я испытываю стресс на работе, потому что у меня очень мало времени, чтобы дышать!",Work,1,0,work
6461,Everyday I had to deal with that.,Каждый день мне приходилось с этим сталкиваться.,Everyday Decision Making,6,5,unknown
4585,Apart of me I can't have a proper meal at work.,"Кроме себя, я не могу нормально питаться на работе.",Work,1,0,work
711,i can't seem to catch up on my medical bills.,"Кажется, я не могу покрыть свои медицинские счета.",Financial Problem,5,4,finance
906,i have been stressed about finding a job given all of the recent events going on,"я был в стрессе по поводу поиска работы, учитывая все последние события, происходящие",Work,1,0,work
244,don't know what to cook for dinner,"не знаю, что приготовить на ужин",Other,6,5,unknown
3144,yeah finding a job that earns more $$$$,"да, найти работу, которая зарабатывает больше $$$$",Work,1,0,work
897,I have been really stressing about the coronavirus.,Я очень переживал из-за коронавируса.,Other,6,5,unknown
5999,"My car is frightening right now, And I can't afford to fix it.","Моя машина сейчас пугает, и я не могу позволить себе ее починить.",Financial Problem,5,4,finance
5622,"According to the Bush Administration, Iraq War veterans must be watched closely because they're a potential terrorist threat to military bases inside the US.","По мнению администрации Буша, за ветеранами войны в Ираке необходимо внимательно следить, поскольку они представляют собой потенциальную террористическую угрозу для военных баз на территории США.",Other,6,5,unknown
4938,my homework is getting turned in as incomplete a lot now. some of my recent test scores really suck. and my grades are suffering. not to mention,мою домашнюю работу теперь часто сдают как невыполненную. некоторые из моих недавних результатов тестов действительно отстойные. и мои оценки страдают. не говоря уже о,School,1,0,work
3125,worried about my granny right now,волнуюсь за свою бабушку сейчас,Family Issues,2,1,family
924,i have been stressed for class work and work,у меня был стресс из-за уроков и работы,Work,1,0,work
2805,This whole stay at home got me f'd up man,"Все это пребывание дома меня взбесило, чувак.",Other,6,5,unknown
3621,I'm in pain almost every day of the week!,Мне больно почти каждый день недели!,"Health, Fatigue, or Physical Pain",3,2,health
5960,that's just because I so couldn't afford how much I spent.,"это только потому, что я не мог позволить себе столько денег, сколько потратил.",Financial Problem,5,4,finance
4073,I'm really bad at prioritizing and I need a job ASAP.,"Я очень плохо расставляю приоритеты, и мне нужна работа как можно скорее.",Work,1,0,work
5284,She I think is jealous of me because of my dad and my relationship. Fuck her.,"Я думаю, она завидует мне из-за моего отца и моих отношений. Трахни ее.",Social Relationships,4,3,friends
4350,U know it's not a good thing when i'm bored because then i start questioning everything in life.,"Знаешь, это нехорошо, когда мне скучно, потому что тогда я начинаю подвергать сомнению все в жизни.",Emotional Turmoil,6,5,unknown
985,i have had trouble with my computer at work,у меня были проблемы с компьютером на работе,Work,1,0,work
1218,i'm anxious about failing to meet my commitments to my family,"я беспокоюсь о том, что не смогу выполнить свои обязательства перед семьей",Family Issues,2,1,family
1068,i just got my student loan bill and i don't know how i'm going to pay this.,"Я только что получил счет за студенческий кредит и не знаю, как его оплатить.",Financial Problem,5,4,finance
4333,things had started to get really stressful and i cant afford to live there anymore anyway.,"ситуация стала очень напряженной, и я все равно не могу позволить себе больше там жить.",Financial Problem,5,4,finance
783,i got in a fight with my brother :(,я подрался с братом :(,Family Issues,2,1,family
5653,Israel has expressed anxiety over Iran's stance.,Израиль выразил обеспокоенность позицией Ирана.,Other,6,5,unknown
1424,it's usually work,обычно это работа,Work,1,0,work
3181,I was tired and sore.,Я устал и болел.,"Health, Fatigue, or Physical Pain",3,2,health
2654,THE RAPID SPREAD OF CORONOVIRUS,БЫСТРОЕ РАСПРОСТРАНЕНИЕ КОРОНОВИРУСА,"Health, Fatigue, or Physical Pain",3,2,health
575,I am on self-isolation and I am a little anxious / stressed and not working enough.,"Я нахожусь на самоизоляции, немного тревожусь/напряжена и недостаточно работаю.",Financial Problem,5,4,finance
2495,the conoravisrus making me loose my job,из-за коноравируса я потерял работу,Work,1,0,work
1154,i want to eat better but i'm having a hard time with it,"я хочу есть лучше, но мне трудно с этим справиться","Health, Fatigue, or Physical Pain",3,2,health
3470,Recently you have been experiencing considerable mental anguish and turmoil.,В последнее время вы испытываете значительные душевные страдания и смятения.,Emotional Turmoil,6,5,unknown
663,I am very stressed about being stuck in the house during COVID-19,"Я очень переживаю из-за того, что застряла дома во время COVID-19.",Emotional Turmoil,6,5,unknown
3817,I have been stressed about my health and fear of COVID-19.,Я был в стрессе из-за своего здоровья и страха перед Covid-19.,Emotional Turmoil,6,5,unknown
3533,My dad was diagnosed with Rectal Cancer.,У моего отца диагностировали рак прямой кишки.,"Health, Fatigue, or Physical Pain",3,2,health
1161,i was in stressful event because my team leader blamed on me for unwanted issues,"у меня был стресс, потому что мой руководитель группы винил меня в нежелательных проблемах",Work,1,0,work
2588,the dealer i bought my van from registered it as a commercial vehicle against my wishes,"дилер, у которого я купил свой фургон, зарегистрировал его как коммерческий автомобиль вопреки моему желанию",Everyday Decision Making,6,5,unknown
4293,so i'm a bit worried about next semester's schedule.,поэтому я немного волнуюсь по поводу расписания на следующий семестр.,School,1,0,work
1445,i've been having issues completing my thesis.,у меня были проблемы с завершением диссертации.,School,1,0,work
5258,It's noisy and my neighbours are obnoxious.,"Здесь шумно, и мои соседи неприятные.",Social Relationships,4,3,friends
6065,"I want to call into work sick tomorrow so badly and take a day to recoup, but I can't afford to, and that just makes it all the worse.","Я так сильно хочу завтра прийти на работу по болезни и потратить день на восстановление сил, но не могу себе этого позволить, и от этого становится только хуже.",Work,1,0,work
316,finding the finances for a birthday party after christmas,найти деньги на вечеринку по случаю дня рождения после Рождества,Financial Problem,5,4,finance
4266,once again i'm gonna go on ranting that i have not enough time and theres just so much to do.,"Я еще раз продолжу разглагольствовать, что у меня мало времени и так много дел нужно сделать.",Everyday Decision Making,6,5,unknown
1113,i need to figure out storage,мне нужно разобраться с хранилищем,Everyday Decision Making,6,5,unknown
2629,the money i need for my mortgage closing,"деньги, которые мне нужны для закрытия ипотеки",Financial Problem,5,4,finance
2168,Not being able to leave my house due to the Corona Virus,Не могу выйти из дома из-за короновируса.,Other,6,5,unknown
3382,"today i was tired all day, like every day and it sucks i'm worried i have a disease or something i can't explain my exhaustion.","сегодня я весь день был уставшим, как и каждый день, и это отстой, я волнуюсь, что у меня болезнь или что-то еще, и я не могу объяснить свое утомление.","Health, Fatigue, or Physical Pain",3,2,health
4133,It's been hell just trying to get a ride to work... ...and I'm not feeling 100% to boot.,"Это был ад, просто пытаться подвезти меня до работы... ...и я не чувствую себя на 100% уверенным.",Work,1,0,work
397,Having to pay my student loans,Мне приходится платить студенческие кредиты,Financial Problem,5,4,finance
3608,"Its not easy work, and my back hurts.","Это нелегкая работа, и у меня болит спина.","Health, Fatigue, or Physical Pain",3,2,health
6105,I couldn't really afford proper meals all the time and they take a lot of time to make and here's a lot of waste when cooking for one.,"Я не мог позволить себе постоянно питаться правильно, а на их приготовление уходит много времени, а приготовление одного блюда приводит к большим потерям.",Other,6,5,unknown
210,"cut to part time, can't pay rent or bills, feel terrible","сокращен на неполный рабочий день, не могу платить за аренду или счета, чувствую себя ужасно",Financial Problem,5,4,finance
1851,my dog has stitches in and she's being crazy,"у моей собаки наложены швы, и она сходит с ума",Family Issues,2,1,family
6450,I HAVE SO MANY PROJECTS AND IT STRESSES AND BUMS ME OUT.,"У МЕНЯ ТАК МНОГО ПРОЕКТОВ, И ЭТО МЕНЯ СТРЕССИТ И РАЗРУШАЕТ.",Work,1,0,work
4779,Life has been incredibly stressful lately.,В последнее время жизнь стала невероятно напряженной.,Other,6,5,unknown
2026,my oldest son has been having serious issues at school almost every day.,у моего старшего сына почти каждый день были серьезные проблемы в школе.,Family Issues,2,1,family
129,boss keeps piling me up with work,босс продолжает загружать меня работой,Work,1,0,work
2594,the fact that I have been laid off due to the coronavirus with no prospects,"то, что меня уволили из-за коронавируса без перспектив",Work,1,0,work
4388,"Life is really busy lately and you know, there just isn't enough time in the world to do everything i want!","В последнее время жизнь очень занята, и вы знаете, в мире просто не хватает времени, чтобы сделать все, что я хочу!",Everyday Decision Making,6,5,unknown
4805,"i work too much and when i get out i'm too tired to function, plus everyone always has plans.","я слишком много работаю, и когда выхожу из дома, я слишком устаю, чтобы работать, к тому же у всех всегда есть планы.",Work,1,0,work
6331,i cant talk to my parents about how stressed i am bc itll worry them even more.,"Я не могу говорить с родителями о том, какой у меня стресс, потому что это их беспокоит еще больше.",Family Issues,2,1,family
667,I am very stressing about to stay home for a long time,Я очень переживаю из-за необходимости оставаться дома в течение длительного времени,Social Relationships,4,3,friends
989,i have like no money at all and i hate it,"у меня вообще нет денег, и я это ненавижу",Financial Problem,5,4,finance
3061,work is killing me,работа меня убивает,Work,1,0,work
6604,Mother gave me the biggest guilt trip for it and now I'm feeling a little bitter.,"Мать устроила мне за это самое большое чувство вины, и теперь мне немного горько.",Family Issues,2,1,family
3871,"Being so busy I feel like I have lost my spiritual sense, or a sense of myself.","Будучи настолько занятым, я чувствую, что потерял духовное чувство или ощущение самого себя.",Emotional Turmoil,6,5,unknown
4295,So its seriously time to register for GRE and everything and I realized...I can't afford it.,"Так что пора регистрироваться на GRE и все такое, и я понял... Я не могу себе этого позволить.",Financial Problem,5,4,finance
6481,"college, scholarships, and my new secret are really taking a toll on me. and","колледж, стипендии и мой новый секрет действительно сказываются на мне. и",School,1,0,work
4157,ive been getting too stressed lately and i feel like im just gonna lose it.,"В последнее время я становлюсь слишком напряженным, и мне кажется, что я вот-вот потеряю самообладание.",Emotional Turmoil,6,5,unknown
1163,i was late for work again,я снова опоздал на работу,Work,1,0,work
6792,my parents dont really keep track of my life.,мои родители особо не следят за моей жизнью.,Family Issues,2,1,family
4893,i'm sure i'm probably missing a bunch of stuff at school that will take me all week to make up.,"Я уверен, что, вероятно, пропустил кучу вещей в школе, на восполнение которых мне понадобится целая неделя.",School,1,0,work
685,I am worried about the Coronavirus and how it will affect my family.,"Я беспокоюсь о Коронавирусе и о том, как он повлияет на мою семью.","Health, Fatigue, or Physical Pain",3,2,health
4812,"I'm tired of washing my two little uniforms every other day, and ironing every night to get the required creases in everything, it's such a pain.","Я устала стирать две свои маленькие униформы через день и гладить каждую ночь, чтобы на всем были нужные складки, это такая боль.",Work,1,0,work
1874,my financial situaition is tough this month.,мое финансовое положение в этом месяце тяжелое.,Financial Problem,5,4,finance
3984,I just have been feeling this frustration about how to prioritize.,"Я просто чувствовал разочарование по поводу того, как расставить приоритеты.",Everyday Decision Making,6,5,unknown
6493,"I'm trying I really am, but right now I'm just so bogged down with school work, and stress its ridiculous.","Я правда стараюсь, но сейчас я настолько увязла в школьной работе, что подчеркиваю, что это смешно.",School,1,0,work
1920,my husband has been so busy lately that we never spend quality time together anymore.,"мой муж в последнее время был так занят, что мы больше никогда не проводим время вместе.",Social Relationships,4,3,friends
2562,The Covid-19 pandemic,Пандемия Covid-19,Financial Problem,5,4,finance
2249,Oh the whole Corona Virus stuff,Ох уж эта короновирусная ерунда,"Health, Fatigue, or Physical Pain",3,2,health
3074,work is very exhausting i need a break or need a vacation,"работа очень утомительна, мне нужен перерыв или отпуск",Work,1,0,work
3573,"I limped around work on a swollen knee, sneezed my head off and choked on icky wood shavings and broke up a really NASTY fight between two dogs.","Я хромал на работе с опухшим коленом, чихнул, подавился неприятными опилками и развязал действительно ЖЕСТКУЮ драку между двумя собаками.","Health, Fatigue, or Physical Pain",3,2,health
